name,team,position,age,points,rebounds,assists,games_played,salary
LeBron James,Lakers,Forward,38,25.3,7.2,6.8,55,45000000
Stephen Curry,Warriors,Guard,35,29.4,5.1,6.3,60,48000000
Kevin Durant,Suns,Forward,34,28.7,6.9,5.2,47,43000000
Giannis,Bucks,Forward,28,31.1,11.8,5.7,63,42000000
Luka Doncic,Mavericks,Guard,24,32.4,8.6,8.0,58,40000000
Jayson Tatum,Celtics,Forward,25,26.9,8.1,4.6,72,32000000
Joel Embiid,76ers,Center,29,,10.2,3.4,39,33000000
Nikola Jokic,Nuggets,Center,27,24.5,11.8,9.8,69,30000000
Damian Lillard,Bucks,Guard,32,24.7,4.2,7.3,,25000000
Anthony Davis,Lakers,Center,30,25.9,,2.4,56,35000000
Devin Booker,Suns,Guard,26,27.8,4.6,6.8,67,32000000
Kawhi Leonard,Clippers,Forward,31,,6.4,3.7,42,39000000
